IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,DST_TO_SRC_SECOND_BYTES,SRC_TO_DST_SECOND_BYTES,Label,Attack
157.240.225.61,443,192.168.4.60,55267,6,55267,3489,24,0,0,18,0,18,55,55,1446,66,66,1446,0,0,0,0,8781977122560,0,20,3,0,0,1,65535,0,0,0,0,0,0,0,2517047040.0,0,2517047,28,43,0,Benign
192.168.4.42,8009,192.168.4.60,53735,6,53735,242,2,0,0,16,0,16,64,64,176,66,66,176,176,1,0,0,331071488,0,1,1,0,0,0,8463,0,0,0,0,0,0,0,1368064.0,0,1368,3686,5554,0,Benign
192.168.4.60,55267,157.240.225.61,443,6,443,0,0,10668,60,2,2,0,64,64,1446,66,66,1446,0,0,0,0,0,27004472011776,36,20,1,1,2,0,65535,0,0,0,0,0,0,2531352832.0,2531352,0,87,132,1,Bot
192.168.4.60,59576,192.168.4.1,53,17,53,0,0,75,1,0,0,0,64,64,75,75,75,75,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,54321,65,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,53734,192.168.4.43,8009,6,8009,0,0,242,2,24,24,0,64,64,176,66,66,176,0,0,0,0,0,3896223232,1,1,0,0,0,0,2048,0,0,0,0,0,0,16100096.0,16100,0,313,472,1,Ransomware
192.168.4.43,8009,192.168.4.60,53734,6,53734,242,2,0,0,16,0,16,64,64,176,66,66,176,176,1,0,0,360622592,0,1,1,0,0,0,8463,0,0,0,0,0,0,0,1490176.0,0,1490,3384,5099,0,Benign
192.168.4.1,53,192.168.4.60,65351,17,65351,85,1,0,0,0,0,0,64,64,85,85,85,85,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,25690,0,74,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,65351,192.168.4.1,53,17,53,0,0,69,1,0,0,0,64,64,69,69,69,69,0,0,0,0,0,69,1,0,0,0,0,0,0,0,0,25690,1,0,0,0.0,0,0,20838,31403,1,Scanning
52.114.244.13,443,192.168.4.60,54686,6,54686,102,1,0,0,24,0,24,112,112,102,102,102,102,0,0,0,0,102,0,1,0,0,0,0,6141,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,50023,17,50023,125,1,0,0,0,0,0,64,64,125,125,125,125,0,0,0,0,125,0,1,0,0,0,0,0,0,0,0,63526,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,55321,40.99.202.66,443,6,443,0,0,54,1,20,20,0,64,64,54,54,54,54,0,0,0,0,0,54,1,0,0,0,0,0,10338,0,0,0,0,0,0,0.0,0,0,20838,31403,1,Password
192.168.4.60,53735,192.168.4.42,8009,6,8009,0,0,242,2,24,24,0,64,64,176,66,66,176,0,0,0,0,0,1995783680,1,1,0,0,0,0,2048,0,0,0,0,0,0,8247040.0,8247,0,611,921,1,Ransomware
192.168.4.60,55452,40.100.174.2,443,6,443,0,0,54,1,20,20,0,64,64,54,54,54,54,0,0,0,0,0,54,1,0,0,0,0,0,2048,0,0,0,0,0,0,0.0,0,0,20838,31403,1,Reconnaissance
192.168.4.60,55266,52.97.133.162,443,6,443,0,0,13591,22,2,2,0,64,64,1514,66,66,1514,0,0,0,0,0,5441685050624,10,1,1,3,7,0,65535,0,0,0,0,0,0,400388864.0,400388,0,707,1065,1,DoS
192.168.4.60,54686,52.114.244.13,443,6,443,0,0,167,2,24,24,0,64,64,113,54,54,113,0,0,0,0,0,3874228992,2,0,0,0,0,0,4096,0,0,0,0,0,0,23198976.0,23198,0,150,226,1,Password
192.168.4.60,53967,17.57.146.7,5223,6,5223,0,0,54,1,20,20,0,64,64,54,54,54,54,0,0,0,0,0,54,1,0,0,0,0,0,2048,0,0,0,0,0,0,0.0,0,0,20838,31403,1,Infilteration
192.168.4.60,55432,52.97.211.226,443,6,443,0,0,54,1,20,20,0,64,64,54,54,54,54,0,0,0,0,0,54,1,0,0,0,0,0,2048,0,0,0,0,0,0,0.0,0,0,20838,31403,1,Ransomware
192.168.4.60,51413,109.161.43.114,41115,17,41115,0,0,91,1,0,0,0,64,64,91,91,91,91,0,0,0,0,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,62039,192.168.4.1,53,17,53,0,0,84,1,0,0,0,64,64,84,84,84,84,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,51052,1,0,0,0.0,0,0,20838,31403,1,Scanning
52.97.133.162,443,192.168.4.60,55266,6,55266,10402,37,0,0,18,0,18,113,113,1514,66,66,1514,0,0,0,0,4073786687488,0,23,5,4,2,3,65535,0,0,0,0,0,0,0,391634944.0,0,391634,553,834,0,Benign
192.168.4.60,54971,192.168.4.1,53,17,53,0,0,74,1,0,0,0,64,64,74,74,74,74,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,11132,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,52952,17,52952,229,1,0,0,0,0,0,64,64,229,229,229,229,0,0,0,0,229,0,0,1,0,0,0,0,0,0,0,56628,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,57452,17,57452,274,1,0,0,0,0,0,64,64,274,274,274,274,0,0,0,0,274,0,0,0,1,0,0,0,0,0,0,33867,0,264,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,49725,17,49725,250,1,0,0,0,0,0,64,64,250,250,250,250,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,37658,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,49580,17,49580,163,1,0,0,0,0,0,64,64,163,163,163,163,0,0,0,0,163,0,0,1,0,0,0,0,0,0,0,274,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,54503,192.168.4.1,53,17,53,0,0,92,1,0,0,0,64,64,92,92,92,92,0,0,0,0,0,92,1,0,0,0,0,0,0,0,0,37147,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,51413,178.176.171.64,34185,17,34185,0,0,152,1,0,0,0,64,64,152,152,152,152,0,0,0,0,0,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,54971,17,54971,90,1,0,0,0,0,0,64,64,90,90,90,90,0,0,0,0,90,0,1,0,0,0,0,0,0,0,0,11132,0,106,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,51413,93.44.176.136,6885,17,6885,0,0,89,1,0,0,0,64,64,89,89,89,89,0,0,0,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,61019,17,61019,235,1,0,0,0,0,0,64,64,235,235,235,235,0,0,0,0,235,0,0,1,0,0,0,0,0,0,0,20501,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,51413,163.172.98.4,9002,17,9002,0,0,100,1,0,0,0,64,64,100,100,100,100,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,1,Backdoor
192.168.4.1,53,192.168.4.60,53798,17,53798,245,1,0,0,0,0,0,64,64,245,245,245,245,0,0,0,0,245,0,0,1,0,0,0,0,0,0,0,12566,0,48,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,50023,192.168.4.1,53,17,53,0,0,74,1,0,0,0,64,64,74,74,74,74,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,63526,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,59576,17,59576,192,1,0,0,0,0,0,64,64,192,192,192,192,0,0,0,0,192,0,0,1,0,0,0,0,0,0,0,54321,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.1,53,192.168.4.60,54503,17,54503,305,1,0,0,0,0,0,64,64,305,305,305,305,0,0,0,0,305,0,0,0,1,0,0,0,0,0,0,37147,0,300,0,0.0,0,0,20838,31403,0,Benign
17.250.83.201,443,192.168.4.60,60090,17,60090,3190,8,0,0,0,0,0,55,55,1242,73,73,1242,0,0,0,0,48931435520,0,4,0,2,1,1,0,0,0,0,0,0,0,0,15339008.0,0,15339,4333,6530,0,Benign
192.168.4.60,60090,17.250.83.201,443,17,443,0,0,4782,8,0,0,0,64,64,1392,85,85,1392,0,0,0,0,0,105548610048,2,3,0,0,3,0,0,0,0,0,0,0,0,22072064.0,22072,0,4514,6803,0,Benign
109.161.43.114,41115,192.168.4.60,51413,17,51413,174,1,0,0,0,0,0,56,56,174,174,174,174,0,0,0,0,174,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,49580,192.168.4.1,53,17,53,0,0,78,1,0,0,0,64,64,78,78,78,78,0,0,0,0,0,78,1,0,0,0,0,0,0,0,0,274,65,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,52952,192.168.4.1,53,17,53,0,0,73,1,0,0,0,64,64,73,73,73,73,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,56628,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,49725,192.168.4.1,53,17,53,0,0,77,1,0,0,0,64,64,77,77,77,77,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,37658,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,62039,17,62039,297,1,0,0,0,0,0,64,64,297,297,297,297,0,0,0,0,297,0,0,0,1,0,0,0,0,0,0,51052,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,55748,192.168.4.1,53,17,53,0,0,82,1,0,0,0,64,64,82,82,82,82,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,40269,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.1,53,192.168.4.60,55748,17,55748,196,1,0,0,0,0,0,64,64,196,196,196,196,0,0,0,0,196,0,0,1,0,0,0,0,0,0,0,40269,0,300,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,55353,157.240.225.61,5222,6,5222,0,0,54,1,20,20,0,64,64,54,54,54,54,0,0,0,0,0,54,1,0,0,0,0,0,2045,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
93.44.176.136,6885,192.168.4.60,51413,17,51413,189,1,0,0,0,0,0,52,52,189,189,189,189,0,0,0,0,189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,61019,192.168.4.1,53,17,53,0,0,75,1,0,0,0,64,64,75,75,75,75,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,20501,1,0,0,0.0,0,0,20838,31403,1,Scanning
163.172.98.4,9002,192.168.4.60,51413,17,51413,122,1,0,0,0,0,0,55,55,122,122,122,122,0,0,0,0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20838,31403,0,Benign
192.168.4.60,53798,192.168.4.1,53,17,53,0,0,81,1,0,0,0,64,64,81,81,81,81,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,12566,1,0,0,0.0,0,0,20838,31403,1,Scanning
192.168.4.60,57452,192.168.4.1,53,17,53,0,0,75,1,0,0,0,64,64,75,75,75,75,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,33867,1,0,0,0.0,0,0,20838,31403,1,Scanning
